ASIN;SKU;OTTOKOD;DETAY;DESİ-KG;;INVOICE ÜRÜN BEDELİ;US FEDEX KARGO ÜCRETİ;FEDEX İŞLEM ÜCRETİ;DUTY OTAN;DUTY;VERGİ ORANI;VERGİ
B07T36H7YL;OT-GeLetGlassesCaseMagnet-Camel;6046-Camel;Mıknatıslı Gözlük Kılıfı-Tiger Deri;0,5;;1,42;9,27;1,12;0;0,00;15,0;0,21
B07SZ2TPK5;OT-GeLetGlassesCaseMagnet-Red;6046-Kırmızı;Mıknatıslı Gözlük Kılıfı-Tiger Deri;0,5;;1,42;9,27;1,12;0;0,00;15,0;0,21
B07SZ1BKWG;OT-GeLetGlassesCaseMagnet-Green;6046-Oliv;Mıknatıslı Gözlük Kılıfı-Tiger Deri;0,5;;1,42;9,27;1,12;0;0,00;15,0;0,21
B07SZ24DQZ;OT-GeLetGlassesCaseMagnet-Cinnamon;6046-Taba;Mıknatıslı Gözlük Kılıfı-Tiger Deri;0,5;;1,42;9,27;1,12;0;0,00;15,0;0,21
B07T14QTZF;OT-GeLetGlassesCaseMagnet-Black;6047-Siyah;Mıknatıslı Gözlük Kılıfı-Soho;0,5;;1,42;9,27;1,12;0;0,00;15,0;0,21
B07TCB52MT;OT-LeatherVisorOrganizer-Gray;6048-Gri;Oto Organizeri;0,5;;1,00;9,27;1,12;2,5;0,03;15,0;0,15
B07TC6TGSP;OT-LeatherVisorOrganizer-Black;6048-Siyah;Oto Organizeri;0,5;;1,00;9,27;1,12;2,5;0,03;15,0;0,15
B07TB9FV7V;OT-LeatherVisorOrganizer-Brown;6048-Taba;Oto Organizeri;0,5;;1,00;9,27;1,12;2,5;0,03;15,0;0,15
B07PWWGGL7;OT-GeLet-XLmousepad-Damson;6050-Bordo;Geniş Mouse Pad-SOHO;0,5;;4,01;9,27;1,12;0;0,00;15,0;0,60
B09NNFGD7Y;OT-GeLet-XLmousepad-Green;6050-Haki;Geniş Mouse Pad-SOHO;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B07PXCF7YC;OT-GeLet-XLmousepad-Brown;6050-Kahverengi;Geniş Mouse Pad-SOHO;0,5;;4,01;9,27;1,12;0;0,00;15,0;0,60
B07PXDSSZP;OT-GeLet-XLmousepad-Black;6050-Siyah;Geniş Mouse Pad;0,5;;4,01;9,27;1,12;0;0,00;15,0;0,60
B09NNFQFCB;OT-GeLet-XLmousepad-Mink;6050-Vizon;Geniş Mouse Pad-SOHO;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B081B2LDVG;OT-GeLetPenCase-Fat-Beige1;6052-Beyaz;Tombik Kalemlik;0,5;;1,23;9,27;1,12;14,5;0,18;15,0;0,18
